Informant,porch 10.7,Comments,
WV39B,porch,,
WV39C!,porch,,
WV39C!,piazza,"""rare here”",
WV40A,porch,,
WV40B,porch,,
WV41A,porch,,
WV41B,porch,,
WV42A,porch,,
WV42B,porch,,
WV43A,porch,,
WV43B,porch,,
WV44A,porch,,
WV44B,porch,,
WV45A,porch,,
WV45B,porch,,
WV46A,porch,,
WV46B,porch,,
WV47A,porch,,
WV47B,porch,,
WV48A,porch,,
WV48B,porch,,
WV48C,porch,,
WV48D,porch,,
WV49A,porch,,
WV49B,porch,,
WV50A,porch,,
WV50B,porch,,
WV51A,porch,,
WV51B,porch,,
WV52A,porch,,
WV52B,porch,,
WV52C!,porch,,
WV52C!,veranda,"wide, long",
WV52C!,portico,small,
WV53A,porch,,
WV53B,porch,roof,
WV53B,platform,no roof,
WV53C!,porch,,
WV54A,porch,,
WV54B,porch,,
WV54B,portico,small,
DE1A,porch,,
DE1B,porch,,
DE1C!,porch,,
DE2A,porch,,
DE2A,piazza,,
DE2A,portico,very small; usually no roof,
DE2B,porch,,
DE2C,NR,,
DE3A,porch,has roof,
DE3A,platform,small; usually no roof,
DE3A,platform,small; usually no roof,
DE3B,porch,,
DE3C!,porch,,
DE4,porch,,
DE5A,porch,,
DE5A,stoop,,
DE5B,porch,,
DE6A,porch,,
DE6B,porch,,
MD1A,porch,,
MD1A,porch,,
MD1B,porch,,
MD2A,porch,,
MD2B,porch,,
MD3A,porch,,
MD3B,porch,,
MD4A,porch,,
MD4B,porch,,
MD4C,porch,,
MD5A,porch,,
MD5B,porch,,
MD6A,porch,,
MD6B,porch,,
MD7A,porch,,
MD7B,porch,,
MD7C!,porch,,
MD7C!,piazza,large,
MD7C!,stoop,small; usually no roof,
MD8A,porch,,
MD8B,porch,,
MD9N,porch,,
MD9A,porch,,
MD9A,piazza,,
MD9B,porch,,
MD10A,porch,,
MD10B,porch,,
MD11,porch,,
MD11,portico,over the door; small; usually no roof,
MD12A,porch,,
MD12B,porch,,
MD13A,porch,,
MD13B,porch,,
MD13C,porch,,
MD13D!,porch,,
MD13D!,piazza,on handsome house,
MD13E!,porch,,
MD13F!,porch,large,
MD13F!,stoop,some say; small; usually no roof,
MD13F!,piazza,aunt said,
MD13G,NR,,
MD14,porch,"""ein porch”",
MD14,porch,,
MD15A,porch,,
MD15B,porch,,
MD16,porch,,
MD16,portico,small; usually no roof,
MD17A,porch,,
MD17B,porch,,
MD18A,porch,,
MD18B,porch,,
MD19A,porch,,
MD19B,porch,,
MD20A,porch,,
MD20A,stoop,"small, over the door; usually no roof",
MD20B,porch,,
MD20B,piazza,,
MD20C!,porch,,
MD21A,piazza,large ones,
MD21A,porch,short,
MD21B,porch,,
MD21B,steps,small; usually no roof,
MD21B,piazza,,
MD22N,piazza,,
MD22N,porch,,
MD22M,porch,,
MD22A,porch,,
MD22A,porch,,
MD22B,porch,,
MD22C!,porch,,
MD22C!,piazza,,
MD23A,porch,,
MD23A,piazza,,
MD23B,porch,,
MD23B,piazza,,
MD23C,porch,,
MD24,piazza,,
MD24,porch,,
MD25,porch,,
MD26A,porch,,
MD26B,NR,,
MD27A,porch,,
MD27B,porch,,
DC1A,porch,,
DC1A,stoop,small platform from front door; usually no roof,
DC1B!,porch,,
VA1!,porch,,
VA2A,porch,,
VA2A,portico,extending out to drive under,
VA2A,stoop,shelter over front door; small; usually no roof,
VA2B,porch,,
VA3A,porch,,
VA3B,porch,,
VA3C,NR,,
VA4N,porch,,
VA5A,porch,,
VA5A,porch,,
VA5B,porch,,
VA6A,porch,,
VA6B,porch,,
VA7A,porch,,
VA7B,porch,,
VA7B,piazza,,
VA8A,porch,,
VA8B,porch,,
VA8C!,porch,,
VA9A,porch,,
VA9B!,porch,,
VA9B!,stoop,"small, over door; usually no roof",
VA10A,porch,,
VA10B,porch,,
VA10B,stoop,"small, no roof; usually no roof",
VA11A,porch,,
VA11B,porch,,
VA12N,porch,,
VA12A,porch,,
VA12B!,porch,,
VA12B!,stoop,"small, over door; usually no roof",
VA13A,porch,,
VA13B,porch,,
VA14A,porch,,
VA14A,piazza,,
VA14B,porch,,
VA14B,platform,,
VA14C,porch,,
VA15N,porch,,
VA15N,porch,,
VA15A,porch,,
VA15B,porch,,
VA15B,stoop,"small, over basement door; usually no roof",
VA16A,porch,,
VA16B,porch,,
VA17A,porch,,
VA17A,platform,"small, no roof",
VA17B,porch,,
VA18,porch,,
VA19A,porch,,
VA19B,porch,,
VA19B,platform,small; usually no roof,
VA19C!,porch,,
VA19C!,portico,,
VA20A,porch,,
VA20B,porch,,
VA20C,NR,,
VA21N,NR,,
VA21A,porch,,
VA21B,porch,,
VA21B,porch,,
VA22,porch,,
VA23A,porch,,
VA23A,platform,small; usually no roof,
VA23B,porch,,
VA24,porch,,
VA24,piazza,also; rarer [than porch],
VA25,porch,,
VA26A,porch,,
VA26B,porch,,
VA26C,porch,,
VA27,porch,,
VA27,portico,"""if two stories high”",
VA28A,porch,,
VA28B,porch,,
VA29,porch,,
VA30A,porch,,
VA30B!,porch,,
VA30C!,porch,,
VA30C!,piazza,,
VA30C!,portico,,
VA30D!,porch,,
VA30D!,portico,tall pillars,
VA30D!,veranda,large; rare,
VA30E!,porch,,
VA31A,porch,,
VA31B,porch,,
VA31C,porch,,
VA32!,porch,,
VA32!,piazza,long ones; seen rarely here,
VA33A,porch,,
VA33A,piazza,,
VA33B,porch,,
VA33B,piazza,"large one, at back or side",
VA34A,piazza,,
VA34A,porch,,
VA34B,porch,,
VA35A,porch,,
VA35A,piazza,large ones,
VA35B,porch,,
VA35B,piazza,large ones,
VA36A,porch,,
VA36A,piazza,backside porch,
VA36B,porch,,
VA36B,piazza,two doors open onto it,
VA37,piazza,"""clean 'cross the house”",
VA37,porch,"small, over door",
VA38,porch,,
VA39!,porch,,
VA40A,porch,,
VA40B,porch,,
VA41A,porch,,
VA41B,porch,,
VA42A,porch,,
VA42A,porch,,
VA42B,porch,,
VA43N,porch,,
VA43A,porch,roof,
VA43A,platform,small; usually no roof,
VA43B,porch,,
VA44A,porch,,
VA44B,porch,,
VA45A,porch,,
VA45B,porch,,
VA46N,porch,,
VA46A,porch,,
VA46B!,porch,,
VA47,porch,,
VA48A,porch,,
VA48B,porch,,
VA49A,porch,,
VA49B,porch,,
VA50A,porch,,
VA50A,piazza,inside hall or vestibule,
VA50B,porch,,
VA51A,porch,,
VA51A,piazza,nice one,
VA51B,NA,,
